74037 silly lifecycle resolve@1.5.0~preinstall: no script for preinstall, continuing
78554 verbose linkBins collection-visit@1.0.0
78555 verbose linkMans collection-visit@1.0.0
78556 silly build for-own@1.0.0
78557 info linkStuff for-own@1.0.0
78558 silly linkStuff for-own@1.0.0 has /home/curtis/github/CurtLH/node_modules/object.defaults/node_modules as its parent node_modules
78559 verbose linkBins for-own@1.0.0
78560 verbose linkMans for-own@1.0.0
78561 silly build isobject@3.0.1
78562 info linkStuff isobject@3.0.1
78563 silly linkStuff isobject@3.0.1 has /home/curtis/github/CurtLH/node_modules/object.defaults/node_modules as its parent node_modules
78564 verbose linkBins isobject@3.0.1
78565 verbose linkMans isobject@3.0.1
78566 silly build object.defaults@1.1.0
78567 info linkStuff object.defaults@1.1.0
78568 silly linkStuff object.defaults@1.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78569 verbose linkBins object.defaults@1.1.0
78570 verbose linkMans object.defaults@1.1.0
78571 silly build for-own@1.0.0
78572 info linkStuff for-own@1.0.0
78573 silly linkStuff for-own@1.0.0 has /home/curtis/github/CurtLH/node_modules/object.map/node_modules as its parent node_modules
78574 verbose linkBins for-own@1.0.0
78575 verbose linkMans for-own@1.0.0
78576 silly build object.map@1.0.1
78577 info linkStuff object.map@1.0.1
78578 silly linkStuff object.map@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78579 verbose linkBins object.map@1.0.1
78580 verbose linkMans object.map@1.0.1
78581 silly build object.omit@2.0.1
78582 info linkStuff object.omit@2.0.1
78583 silly linkStuff object.omit@2.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78584 verbose linkBins object.omit@2.0.1
78585 verbose linkMans object.omit@2.0.1
78586 silly build isobject@3.0.1
78587 info linkStuff isobject@3.0.1
78588 silly linkStuff isobject@3.0.1 has /home/curtis/github/CurtLH/node_modules/object.pick/node_modules as its parent node_modules
78589 verbose linkBins isobject@3.0.1
78590 verbose linkMans isobject@3.0.1
78591 silly build object.pick@1.3.0
78592 info linkStuff object.pick@1.3.0
78593 silly linkStuff object.pick@1.3.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78594 verbose linkBins object.pick@1.3.0
78595 verbose linkMans object.pick@1.3.0
78596 silly build on-finished@2.3.0
78597 info linkStuff on-finished@2.3.0
78598 silly linkStuff on-finished@2.3.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78599 verbose linkBins on-finished@2.3.0
78600 verbose linkMans on-finished@2.3.0
78601 silly build openurl@1.1.1
78602 info linkStuff openurl@1.1.1
78603 silly linkStuff openurl@1.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78604 verbose linkBins openurl@1.1.1
78605 verbose linkMans openurl@1.1.1
78606 silly build ordered-read-streams@0.1.0
78607 info linkStuff ordered-read-streams@0.1.0
78608 silly linkStuff ordered-read-streams@0.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78609 verbose linkBins ordered-read-streams@0.1.0
78610 verbose linkMans ordered-read-streams@0.1.0
78611 silly build os-homedir@1.0.2
78612 info linkStuff os-homedir@1.0.2
78613 silly linkStuff os-homedir@1.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78614 verbose linkBins os-homedir@1.0.2
78615 verbose linkMans os-homedir@1.0.2
78616 silly build os-locale@1.4.0
78617 info linkStuff os-locale@1.4.0
78618 silly linkStuff os-locale@1.4.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78619 verbose linkBins os-locale@1.4.0
78620 verbose linkMans os-locale@1.4.0
78621 silly build os-tmpdir@1.0.2
78622 info linkStuff os-tmpdir@1.0.2
78623 silly linkStuff os-tmpdir@1.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78624 verbose linkBins os-tmpdir@1.0.2
78625 verbose linkMans os-tmpdir@1.0.2
78626 silly build osenv@0.1.4
78627 info linkStuff osenv@0.1.4
78628 silly linkStuff osenv@0.1.4 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78629 verbose linkBins osenv@0.1.4
78630 verbose linkMans osenv@0.1.4
78631 silly build parse-glob@3.0.4
78632 info linkStuff parse-glob@3.0.4
78633 silly linkStuff parse-glob@3.0.4 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78634 verbose linkBins parse-glob@3.0.4
78635 verbose linkMans parse-glob@3.0.4
78636 silly build parse-json@2.2.0
78637 info linkStuff parse-json@2.2.0
78638 silly linkStuff parse-json@2.2.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78639 verbose linkBins parse-json@2.2.0
78640 verbose linkMans parse-json@2.2.0
78641 silly build parse-passwd@1.0.0
78642 info linkStuff parse-passwd@1.0.0
78643 silly linkStuff parse-passwd@1.0.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78644 verbose linkBins parse-passwd@1.0.0
78645 verbose linkMans parse-passwd@1.0.0
78646 silly build homedir-polyfill@1.0.1
78647 info linkStuff homedir-polyfill@1.0.1
78648 silly linkStuff homedir-polyfill@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78649 verbose linkBins homedir-polyfill@1.0.1
78650 verbose linkMans homedir-polyfill@1.0.1
78651 silly build expand-tilde@2.0.2
78652 info linkStuff expand-tilde@2.0.2
78653 silly linkStuff expand-tilde@2.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78654 verbose linkBins expand-tilde@2.0.2
78655 verbose linkMans expand-tilde@2.0.2
78656 silly build parseqs@0.0.5
78657 info linkStuff parseqs@0.0.5
78658 silly linkStuff parseqs@0.0.5 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78659 verbose linkBins parseqs@0.0.5
78660 verbose linkMans parseqs@0.0.5
78661 silly build parseuri@0.0.5
78662 info linkStuff parseuri@0.0.5
78663 silly linkStuff parseuri@0.0.5 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78664 verbose linkBins parseuri@0.0.5
78665 verbose linkMans parseuri@0.0.5
78666 silly build parseurl@1.3.2
78667 info linkStuff parseurl@1.3.2
78668 silly linkStuff parseurl@1.3.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78669 verbose linkBins parseurl@1.3.2
78670 verbose linkMans parseurl@1.3.2
78671 silly build pascalcase@0.1.1
78672 info linkStuff pascalcase@0.1.1
78673 silly linkStuff pascalcase@0.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78674 verbose linkBins pascalcase@0.1.1
78675 verbose linkMans pascalcase@0.1.1
78676 silly build path-is-absolute@1.0.1
78677 info linkStuff path-is-absolute@1.0.1
78678 silly linkStuff path-is-absolute@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78679 verbose linkBins path-is-absolute@1.0.1
78680 verbose linkMans path-is-absolute@1.0.1
78681 silly build path-parse@1.0.5
78682 info linkStuff path-parse@1.0.5
78683 silly linkStuff path-parse@1.0.5 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78684 verbose linkBins path-parse@1.0.5
78685 verbose linkMans path-parse@1.0.5
78686 silly build path-root-regex@0.1.2
78687 info linkStuff path-root-regex@0.1.2
78688 silly linkStuff path-root-regex@0.1.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78689 verbose linkBins path-root-regex@0.1.2
78690 verbose linkMans path-root-regex@0.1.2
78691 silly build path-root@0.1.1
78692 info linkStuff path-root@0.1.1
78693 silly linkStuff path-root@0.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78694 verbose linkBins path-root@0.1.1
78695 verbose linkMans path-root@0.1.1
78696 silly build performance-now@0.2.0
78697 info linkStuff performance-now@0.2.0
78698 silly linkStuff performance-now@0.2.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78699 verbose linkBins performance-now@0.2.0
78700 verbose linkMans performance-now@0.2.0
78701 silly build pify@2.3.0
78702 info linkStuff pify@2.3.0
78703 silly linkStuff pify@2.3.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78704 verbose linkBins pify@2.3.0
78705 verbose linkMans pify@2.3.0
78706 silly build pinkie@2.0.4
78707 info linkStuff pinkie@2.0.4
78708 silly linkStuff pinkie@2.0.4 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78709 verbose linkBins pinkie@2.0.4
78710 verbose linkMans pinkie@2.0.4
78711 silly build pinkie-promise@2.0.1
78712 info linkStuff pinkie-promise@2.0.1
78713 silly linkStuff pinkie-promise@2.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78714 verbose linkBins pinkie-promise@2.0.1
78715 verbose linkMans pinkie-promise@2.0.1
78716 silly build path-type@1.1.0
78717 info linkStuff path-type@1.1.0
78718 silly linkStuff path-type@1.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78719 verbose linkBins path-type@1.1.0
78720 verbose linkMans path-type@1.1.0
78721 silly build path-exists@2.1.0
78722 info linkStuff path-exists@2.1.0
78723 silly linkStuff path-exists@2.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78724 verbose linkBins path-exists@2.1.0
78725 verbose linkMans path-exists@2.1.0
78726 silly build opn@4.0.2
78727 info linkStuff opn@4.0.2
78728 silly linkStuff opn@4.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78729 verbose linkBins opn@4.0.2
78730 verbose linkMans opn@4.0.2
78731 silly build find-up@1.1.2
78732 info linkStuff find-up@1.1.2
78733 silly linkStuff find-up@1.1.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78734 verbose linkBins find-up@1.1.2
78735 verbose linkMans find-up@1.1.2
78736 silly build arr-union@2.1.0
78737 info linkStuff arr-union@2.1.0
78738 silly linkStuff arr-union@2.1.0 has /home/curtis/github/CurtLH/node_modules/plugin-error/node_modules as its parent node_modules
78739 verbose linkBins arr-union@2.1.0
78740 verbose linkMans arr-union@2.1.0
78741 silly build array-slice@0.2.3
78742 info linkStuff array-slice@0.2.3
78743 silly linkStuff array-slice@0.2.3 has /home/curtis/github/CurtLH/node_modules/plugin-error/node_modules as its parent node_modules
78744 verbose linkBins array-slice@0.2.3
78745 verbose linkMans array-slice@0.2.3
78746 silly build arr-diff@1.1.0
78747 info linkStuff arr-diff@1.1.0
78748 silly linkStuff arr-diff@1.1.0 has /home/curtis/github/CurtLH/node_modules/plugin-error/node_modules as its parent node_modules
78749 verbose linkBins arr-diff@1.1.0
78750 verbose linkMans arr-diff@1.1.0
78751 silly build kind-of@1.1.0
78752 info linkStuff kind-of@1.1.0
78753 silly linkStuff kind-of@1.1.0 has /home/curtis/github/CurtLH/node_modules/plugin-error/node_modules as its parent node_modules
78754 verbose linkBins kind-of@1.1.0
78755 verbose linkMans kind-of@1.1.0
78756 silly build extend-shallow@1.1.4
78757 info linkStuff extend-shallow@1.1.4
78758 silly linkStuff extend-shallow@1.1.4 has /home/curtis/github/CurtLH/node_modules/plugin-error/node_modules as its parent node_modules
78759 verbose linkBins extend-shallow@1.1.4
78760 verbose linkMans extend-shallow@1.1.4
78761 silly build plugin-error@0.1.2
78762 info linkStuff plugin-error@0.1.2
78763 silly linkStuff plugin-error@0.1.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78764 verbose linkBins plugin-error@0.1.2
78765 verbose linkMans plugin-error@0.1.2
78766 silly build async@1.5.2
78767 info linkStuff async@1.5.2
78768 silly linkStuff async@1.5.2 has /home/curtis/github/CurtLH/node_modules/portscanner/node_modules as its parent node_modules
78769 verbose linkBins async@1.5.2
78770 verbose linkMans async@1.5.2
78771 silly build portscanner@2.1.1
78772 info linkStuff portscanner@2.1.1
78773 silly linkStuff portscanner@2.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78774 verbose linkBins portscanner@2.1.1
78775 verbose linkMans portscanner@2.1.1
78776 silly build posix-character-classes@0.1.1
78777 info linkStuff posix-character-classes@0.1.1
78778 silly linkStuff posix-character-classes@0.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78779 verbose linkBins posix-character-classes@0.1.1
78780 verbose linkMans posix-character-classes@0.1.1
78781 silly build preserve@0.2.0
78782 info linkStuff preserve@0.2.0
78783 silly linkStuff preserve@0.2.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78784 verbose linkBins preserve@0.2.0
78785 verbose linkMans preserve@0.2.0
78786 silly build pretty-hrtime@1.0.3
78787 info linkStuff pretty-hrtime@1.0.3
78788 silly linkStuff pretty-hrtime@1.0.3 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78789 verbose linkBins pretty-hrtime@1.0.3
78790 verbose linkMans pretty-hrtime@1.0.3
78791 silly build process-nextick-args@1.0.7
78792 info linkStuff process-nextick-args@1.0.7
78793 silly linkStuff process-nextick-args@1.0.7 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78794 verbose linkBins process-nextick-args@1.0.7
78795 verbose linkMans process-nextick-args@1.0.7
78796 silly build pseudomap@1.0.2
78797 info linkStuff pseudomap@1.0.2
78798 silly linkStuff pseudomap@1.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78799 verbose linkBins pseudomap@1.0.2
78800 verbose linkMans pseudomap@1.0.2
78801 silly build punycode@1.4.1
78802 info linkStuff punycode@1.4.1
78803 silly linkStuff punycode@1.4.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78804 verbose linkBins punycode@1.4.1
78805 verbose linkMans punycode@1.4.1
78806 silly build qs@6.2.1
78807 info linkStuff qs@6.2.1
78808 silly linkStuff qs@6.2.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78809 verbose linkBins qs@6.2.1
78810 verbose linkMans qs@6.2.1
78811 silly build kind-of@3.2.2
78812 info linkStuff kind-of@3.2.2
78813 silly linkStuff kind-of@3.2.2 has /home/curtis/github/CurtLH/node_modules/randomatic/node_modules/is-number/node_modules as its parent node_modules
78814 verbose linkBins kind-of@3.2.2
78815 verbose linkMans kind-of@3.2.2
78816 silly build is-number@3.0.0
78817 info linkStuff is-number@3.0.0
78818 silly linkStuff is-number@3.0.0 has /home/curtis/github/CurtLH/node_modules/randomatic/node_modules as its parent node_modules
78819 verbose linkBins is-number@3.0.0
78820 verbose linkMans is-number@3.0.0
78821 silly build kind-of@4.0.0
78822 info linkStuff kind-of@4.0.0
78823 silly linkStuff kind-of@4.0.0 has /home/curtis/github/CurtLH/node_modules/randomatic/node_modules as its parent node_modules
78824 verbose linkBins kind-of@4.0.0
78825 verbose linkMans kind-of@4.0.0
78826 silly build randomatic@1.1.7
78827 info linkStuff randomatic@1.1.7
78828 silly linkStuff randomatic@1.1.7 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78829 verbose linkBins randomatic@1.1.7
78830 verbose linkMans randomatic@1.1.7
78831 silly build range-parser@1.2.0
78832 info linkStuff range-parser@1.2.0
78833 silly linkStuff range-parser@1.2.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78834 verbose linkBins range-parser@1.2.0
78835 verbose linkMans range-parser@1.2.0
78836 silly build regex-cache@0.4.4
78837 info linkStuff regex-cache@0.4.4
78838 silly linkStuff regex-cache@0.4.4 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78839 verbose linkBins regex-cache@0.4.4
78840 verbose linkMans regex-cache@0.4.4
78841 silly build regex-not@1.0.0
78842 info linkStuff regex-not@1.0.0
78843 silly linkStuff regex-not@1.0.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78844 verbose linkBins regex-not@1.0.0
78845 verbose linkMans regex-not@1.0.0
78846 silly build remove-trailing-separator@1.1.0
78847 info linkStuff remove-trailing-separator@1.1.0
78848 silly linkStuff remove-trailing-separator@1.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78849 verbose linkBins remove-trailing-separator@1.1.0
78850 verbose linkMans remove-trailing-separator@1.1.0
78851 silly build normalize-path@2.1.1
78852 info linkStuff normalize-path@2.1.1
78853 silly linkStuff normalize-path@2.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78854 verbose linkBins normalize-path@2.1.1
78855 verbose linkMans normalize-path@2.1.1
78856 silly build repeat-element@1.1.2
78857 info linkStuff repeat-element@1.1.2
78858 silly linkStuff repeat-element@1.1.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78859 verbose linkBins repeat-element@1.1.2
78860 verbose linkMans repeat-element@1.1.2
78861 silly build repeat-string@1.6.1
78862 info linkStuff repeat-string@1.6.1
78863 silly linkStuff repeat-string@1.6.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78864 verbose linkBins repeat-string@1.6.1
78865 verbose linkMans repeat-string@1.6.1
78866 silly build fill-range@2.2.3
78867 info linkStuff fill-range@2.2.3
78868 silly linkStuff fill-range@2.2.3 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78869 verbose linkBins fill-range@2.2.3
78870 verbose linkMans fill-range@2.2.3
78871 silly build expand-range@1.8.2
78872 info linkStuff expand-range@1.8.2
78873 silly linkStuff expand-range@1.8.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78874 verbose linkBins expand-range@1.8.2
78875 verbose linkMans expand-range@1.8.2
78876 silly build braces@1.8.5
78877 info linkStuff braces@1.8.5
78878 silly linkStuff braces@1.8.5 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78879 verbose linkBins braces@1.8.5
78880 verbose linkMans braces@1.8.5
78881 silly build micromatch@2.3.11
78882 info linkStuff micromatch@2.3.11
78883 silly linkStuff micromatch@2.3.11 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78884 verbose linkBins micromatch@2.3.11
78885 verbose linkMans micromatch@2.3.11
78886 silly build anymatch@1.3.2
78887 info linkStuff anymatch@1.3.2
78888 silly linkStuff anymatch@1.3.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78889 verbose linkBins anymatch@1.3.2
78890 verbose linkMans anymatch@1.3.2
78891 silly build repeating@2.0.1
78892 info linkStuff repeating@2.0.1
78893 silly linkStuff repeating@2.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78894 verbose linkBins repeating@2.0.1
78895 verbose linkMans repeating@2.0.1
78896 silly build indent-string@2.1.0
78897 info linkStuff indent-string@2.1.0
78898 silly linkStuff indent-string@2.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78899 verbose linkBins indent-string@2.1.0
78900 verbose linkMans indent-string@2.1.0
78901 silly build replace-ext@0.0.1
78902 info linkStuff replace-ext@0.0.1
78903 silly linkStuff replace-ext@0.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78904 verbose linkBins replace-ext@0.0.1
78905 verbose linkMans replace-ext@0.0.1
78906 silly build qs@6.4.0
78907 info linkStuff qs@6.4.0
78908 silly linkStuff qs@6.4.0 has /home/curtis/github/CurtLH/node_modules/request/node_modules as its parent node_modules
78909 verbose linkBins qs@6.4.0
78910 verbose linkMans qs@6.4.0
78911 silly build require-directory@2.1.1
78912 info linkStuff require-directory@2.1.1
78913 silly linkStuff require-directory@2.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78914 verbose linkBins require-directory@2.1.1
78915 verbose linkMans require-directory@2.1.1
78916 silly build require-main-filename@1.0.1
78917 info linkStuff require-main-filename@1.0.1
78918 silly linkStuff require-main-filename@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78919 verbose linkBins require-main-filename@1.0.1
78920 verbose linkMans require-main-filename@1.0.1
78921 silly build requires-port@1.0.0
78922 info linkStuff requires-port@1.0.0
78923 silly linkStuff requires-port@1.0.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78924 verbose linkBins requires-port@1.0.0
78925 verbose linkMans requires-port@1.0.0
78926 silly build http-proxy@1.15.2
78927 info linkStuff http-proxy@1.15.2
78928 silly linkStuff http-proxy@1.15.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78929 verbose linkBins http-proxy@1.15.2
78930 verbose linkMans http-proxy@1.15.2
78931 silly build resolve@1.5.0
78932 info linkStuff resolve@1.5.0
78933 silly linkStuff resolve@1.5.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78934 verbose linkBins resolve@1.5.0
78935 verbose linkMans resolve@1.5.0
78936 silly build rechoir@0.6.2
78937 info linkStuff rechoir@0.6.2
78938 silly linkStuff rechoir@0.6.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78939 verbose linkBins rechoir@0.6.2
78940 verbose linkMans rechoir@0.6.2
78941 silly build resolve-url@0.2.1
78942 info linkStuff resolve-url@0.2.1
78943 silly linkStuff resolve-url@0.2.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78944 verbose linkBins resolve-url@0.2.1
78945 verbose linkMans resolve-url@0.2.1
78946 silly build resp-modifier@6.0.2
78947 info linkStuff resp-modifier@6.0.2
78948 silly linkStuff resp-modifier@6.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78949 verbose linkBins resp-modifier@6.0.2
78950 verbose linkMans resp-modifier@6.0.2
78951 silly build rx@4.1.0
78952 info linkStuff rx@4.1.0
78953 silly linkStuff rx@4.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78954 verbose linkBins rx@4.1.0
78955 verbose linkMans rx@4.1.0
78956 silly build safe-buffer@5.1.1
78957 info linkStuff safe-buffer@5.1.1
78958 silly linkStuff safe-buffer@5.1.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78959 verbose linkBins safe-buffer@5.1.1
78960 verbose linkMans safe-buffer@5.1.1
78961 silly build camelcase@3.0.0
78962 info linkStuff camelcase@3.0.0
78963 silly linkStuff camelcase@3.0.0 has /home/curtis/github/CurtLH/node_modules/sass-graph/node_modules as its parent node_modules
78964 verbose linkBins camelcase@3.0.0
78965 verbose linkMans camelcase@3.0.0
78966 silly build yargs-parser@5.0.0
78967 info linkStuff yargs-parser@5.0.0
78968 silly linkStuff yargs-parser@5.0.0 has /home/curtis/github/CurtLH/node_modules/sass-graph/node_modules as its parent node_modules
78969 verbose linkBins yargs-parser@5.0.0
78970 verbose linkMans yargs-parser@5.0.0
78971 silly build source-map@0.4.4
78972 info linkStuff source-map@0.4.4
78973 silly linkStuff source-map@0.4.4 has /home/curtis/github/CurtLH/node_modules/scss-tokenizer/node_modules as its parent node_modules
78974 verbose linkBins source-map@0.4.4
78975 verbose linkMans source-map@0.4.4
78976 silly build scss-tokenizer@0.2.3
78977 info linkStuff scss-tokenizer@0.2.3
78978 silly linkStuff scss-tokenizer@0.2.3 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78979 verbose linkBins scss-tokenizer@0.2.3
78980 verbose linkMans scss-tokenizer@0.2.3
78981 silly build semver@5.5.0
78982 info linkStuff semver@5.5.0
78983 silly linkStuff semver@5.5.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
78984 verbose linkBins semver@5.5.0
78985 verbose link bins [ { semver: './bin/semver' },
78985 verbose link bins   '/home/curtis/github/CurtLH/node_modules/.bin',
78985 verbose link bins   false ]
78986 verbose linkMans semver@5.5.0
78987 silly gentlyRm /home/curtis/github/CurtLH/node_modules/.bin/semver is being purged
78988 verbose gentlyRm don't care about contents; nuking /home/curtis/github/CurtLH/node_modules/.bin/semver
78989 silly build ms@0.7.3
78990 info linkStuff ms@0.7.3
78991 silly linkStuff ms@0.7.3 has /home/curtis/github/CurtLH/node_modules/send/node_modules/debug/node_modules as its parent node_modules
78992 verbose linkBins ms@0.7.3
78993 verbose linkMans ms@0.7.3
78994 silly build debug@2.6.4
78995 info linkStuff debug@2.6.4
78996 silly linkStuff debug@2.6.4 has /home/curtis/github/CurtLH/node_modules/send/node_modules as its parent node_modules
78997 verbose linkBins debug@2.6.4
78998 verbose linkMans debug@2.6.4
78999 silly build fresh@0.5.0
79000 info linkStuff fresh@0.5.0
79001 silly linkStuff fresh@0.5.0 has /home/curtis/github/CurtLH/node_modules/send/node_modules as its parent node_modules
79002 verbose linkBins fresh@0.5.0
79003 verbose linkMans fresh@0.5.0
79004 silly build depd@1.1.1
79005 info linkStuff depd@1.1.1
79006 silly linkStuff depd@1.1.1 has /home/curtis/github/CurtLH/node_modules/send/node_modules/http-errors/node_modules as its parent node_modules
79007 verbose linkBins depd@1.1.1
79008 verbose linkMans depd@1.1.1
79009 silly build ms@1.0.0
79010 info linkStuff ms@1.0.0
79011 silly linkStuff ms@1.0.0 has /home/curtis/github/CurtLH/node_modules/send/node_modules as its parent node_modules
79012 verbose linkBins ms@1.0.0
79013 verbose linkMans ms@1.0.0
79014 silly build setprototypeof@1.0.3
79015 info linkStuff setprototypeof@1.0.3
79016 silly linkStuff setprototypeof@1.0.3 has /home/curtis/github/CurtLH/node_modules/send/node_modules as its parent node_modules
79017 verbose linkBins setprototypeof@1.0.3
79018 verbose linkMans setprototypeof@1.0.3
79019 silly build sequencify@0.0.7
79020 info linkStuff sequencify@0.0.7
79021 silly linkStuff sequencify@0.0.7 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79022 verbose linkBins sequencify@0.0.7
79023 verbose linkMans sequencify@0.0.7
79024 silly build ms@0.7.1
79025 info linkStuff ms@0.7.1
79026 silly linkStuff ms@0.7.1 has /home/curtis/github/CurtLH/node_modules/serve-index/node_modules as its parent node_modules
79027 verbose linkBins ms@0.7.1
79028 verbose linkMans ms@0.7.1
79029 silly build debug@2.2.0
79030 info linkStuff debug@2.2.0
79031 silly linkStuff debug@2.2.0 has /home/curtis/github/CurtLH/node_modules/serve-index/node_modules as its parent node_modules
79032 verbose linkBins debug@2.2.0
79033 verbose linkMans debug@2.2.0
79034 silly build server-destroy@1.0.1
79035 info linkStuff server-destroy@1.0.1
79036 silly linkStuff server-destroy@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79037 verbose linkBins server-destroy@1.0.1
79038 verbose linkMans server-destroy@1.0.1
79039 silly build set-blocking@2.0.0
79040 info linkStuff set-blocking@2.0.0
79041 silly linkStuff set-blocking@2.0.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79042 verbose linkBins set-blocking@2.0.0
79043 verbose linkMans set-blocking@2.0.0
79044 silly build set-immediate-shim@1.0.1
79045 info linkStuff set-immediate-shim@1.0.1
79046 silly linkStuff set-immediate-shim@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79047 verbose linkBins set-immediate-shim@1.0.1
79048 verbose linkMans set-immediate-shim@1.0.1
79049 silly build setprototypeof@1.0.2
79050 info linkStuff setprototypeof@1.0.2
79051 silly linkStuff setprototypeof@1.0.2 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79052 verbose linkBins setprototypeof@1.0.2
79053 verbose linkMans setprototypeof@1.0.2
79054 silly build sigmund@1.0.1
79055 info linkStuff sigmund@1.0.1
79056 silly linkStuff sigmund@1.0.1 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79057 verbose linkBins sigmund@1.0.1
79058 verbose linkMans sigmund@1.0.1
79059 silly build minimatch@0.2.14
79060 info linkStuff minimatch@0.2.14
79061 silly linkStuff minimatch@0.2.14 has /home/curtis/github/CurtLH/node_modules/globule/node_modules as its parent node_modules
79062 verbose linkBins minimatch@0.2.14
79063 verbose linkMans minimatch@0.2.14
79064 silly build glob@3.1.21
79065 info linkStuff glob@3.1.21
79066 silly linkStuff glob@3.1.21 has /home/curtis/github/CurtLH/node_modules/globule/node_modules as its parent node_modules
79067 verbose linkBins glob@3.1.21
79068 verbose linkMans glob@3.1.21
79069 silly build globule@0.1.0
79070 info linkStuff globule@0.1.0
79071 silly linkStuff globule@0.1.0 has /home/curtis/github/CurtLH/node_modules as its parent node_modules
79072 verbose linkBins globule@0.1.0
79073 verbose linkMans globule@0.1.0
79074 silly build gaze@0.5.2
79075 info linkStuff gaze@0.5.2
